objectid,year, Scientific_ Name, Verification_ Method, Identification_ Credibility,lat,lon,,,,Year,Occurrences
615764,1997,Anolis equestris equestris,Voucher Specimens,Verified,26.3855,-80.067,,,,1997,1
1289660,1999,Anolis equestris equestris,Specimens,Verified,25.5099,-80.5011,,,,1998,0
615654,2002,Anolis equestris equestris,Voucher Specimens,Verified,26.9842,-80.621,,,,1999,1
615336,2003,Anolis equestris equestris,Voucher Photographs,Verified,26.7153,-80.0534,,,,2000,0
615697,2003,Anolis equestris equestris,Voucher Specimens,Verified,27.2667,-80.527,,,,2001,0
619663,2005,Anolis equestris equestris,Voucher Specimens,Verified,27.2952,-81.3705,,,,2002,1
615477,2007,Anolis equestris equestris,Voucher Photographs,Verified,26.3699,-81.8047,,,,2003,2
615515,2007,Anolis equestris equestris,Voucher Photographs,Verified,26.9257,-80.2292,,,,2004,0
619664,2007,Anolis equestris equestris,Voucher Specimens,Verified,28.0391,-81.7241,,,,2005,1
618362,2007,Anolis equestris equestris,Voucher Photographs,Verified,28.4656,-80.7908,,,,2006,0
614743,2008,Anolis equestris equestris,,Credible,26.3432,-80.21,,,,2007,4
631045,2008,Anolis equestris equestris,Voucher Photographs,Verified,26.5802,-81.995,,,,2008,2
615952,2009,Anolis equestris equestris,Expertise,Verified,25.6123,-80.4016,,,,2009,7
618363,2009,Anolis equestris equestris,Voucher Photographs,Verified,25.7542,-80.2022,,,,2010,7
633748,2009,Anolis equestris equestris,,Credible,26.0969,-81.7306,,,,2011,11
632968,2009,Anolis equestris equestris,Specimens,Verified,26.1879,-81.6763,,,,2012,26
1163274,2009,Anolis equestris equestris,Voucher Photographs,Verified,26.2447,-81.7451,,,,2013,42
619989,2009,Anolis equestris equestris,,Credible,26.9041,-80.1339,,,,2014,36
615916,2009,Anolis equestris equestris,Voucher Photographs,Verified,28.1755,-80.5962,,,,2015,53
1289529,2010,Anolis equestris equestris,,Credible,24.711,-81.0974,,,,2016,25
1160371,2010,Anolis equestris equestris,,Credible,26.1567,-81.722,,,,,
1160381,2010,Anolis equestris equestris,,Credible,26.189,-81.7664,,,,,
1160352,2010,Anolis equestris equestris,Voucher Photographs,Verified,26.4877,-80.1224,,,,,
1160385,2010,Anolis equestris equestris,Voucher Photographs,Verified,26.5956,-80.1707,,,,,
1184753,2010,Anolis equestris equestris,,Credible,26.6043,-80.2203,,,,,
633980,2010,Anolis equestris equestris,Voucher Photographs,Verified,26.6129,-81.9756,,,,,
1960641,2011,Anolis equestris equestris,Voucher Photographs,Verified,24.5578,-81.8043,,,,,
1352754,2011,Anolis equestris equestris,Specimens,Verified,25.6059,-80.3122,,,,,
1960438,2011,Anolis equestris equestris,Expertise,Verified,25.6083,-80.3414,,,,,
1456400,2011,Anolis equestris equestris,Photographs,Verified,26.0384,-80.1197,,,,,
1817073,2011,Anolis equestris equestris,Voucher Photographs,Verified,26.1238,-80.2749,,,,,
1969331,2011,Anolis equestris equestris,Voucher Photographs,Verified,26.2801,-80.0929,,,,,
1817238,2011,Anolis equestris equestris,Voucher Photographs,Verified,26.4624,-80.1255,,,,,
1350952,2011,Anolis equestris equestris,Voucher Photographs,Verified,26.547,-80.0915,,,,,
1983309,2011,Anolis equestris equestris,Voucher Photographs,Verified,26.5985,-80.1683,,,,,
1659472,2011,Anolis equestris equestris,Expertise,Verified,26.6786,-80.1649,,,,,
1966484,2011,Anolis equestris equestris,Voucher Photographs,Verified,26.9601,-80.0942,,,,,
2462610,2012,Anolis equestris equestris,Expertise,Verified,25.139,-80.3956,,,,,
2411576,2012,Anolis equestris equestris,Voucher Photographs,Verified,25.633,-80.4054,,,,,
2409714,2012,Anolis equestris equestris,,Credible,25.8254,-80.3841,,,,,
2409907,2012,Anolis equestris equestris,Voucher Photographs,Verified,26.0167,-80.3824,,,,,
2411499,2012,Anolis equestris equestris,Voucher Photographs,Verified,26.0191,-80.3637,,,,,
2641426,2012,Anolis equestris equestris,Voucher Photographs,Verified,26.1158,-80.2783,,,,,
2276382,2012,Anolis equestris equestris,Expertise,Verified,26.1251,-80.2819,,,,,
2271956,2012,Anolis equestris equestris,,Credible,26.1348,-80.2061,,,,,
2278646,2012,Anolis equestris equestris,,Credible,26.1401,-81.7965,,,,,
2005150,2012,Anolis equestris equestris,,Credible,26.1494,-80.2476,,,,,
2409999,2012,Anolis equestris equestris,,Credible,26.1798,-80.2699,,,,,
2409424,2012,Anolis equestris equestris,Voucher Photographs,Verified,26.1816,-81.6902,,,,,
2409734,2012,Anolis equestris equestris,Voucher Photographs,Verified,26.1834,-81.7033,,,,,
2030356,2012,Anolis equestris equestris,Voucher Photographs,Verified,26.1951,-80.1401,,,,,
2278647,2012,Anolis equestris equestris,,Credible,26.1989,-80.1308,,,,,
2417718,2012,Anolis equestris equestris,Voucher Photographs,Verified,26.2126,-80.1695,,,,,
2410199,2012,Anolis equestris equestris,Voucher Photographs,Verified,26.2629,-80.2225,,,,,
2418193,2012,Anolis equestris equestris,Expertise,Verified,26.2743,-81.7722,,,,,
2651943,2012,Anolis equestris equestris,Expertise,Verified,26.3564,-80.3011,,,,,
2410581,2012,Anolis equestris equestris,Voucher Photographs,Verified,26.3954,-80.0841,,,,,
2482859,2012,Anolis equestris equestris,,Credible,26.5052,-80.1673,,,,,
2418617,2012,Anolis equestris equestris,Voucher Photographs,Verified,26.558,-80.1245,,,,,
2483673,2012,Anolis equestris equestris,,Credible,26.6454,-80.1326,,,,,
2409521,2012,Anolis equestris equestris,Voucher Photographs,Verified,26.6461,-81.9627,,,,,
3215805,2012,Anolis equestris equestris,Voucher Photographs,Verified,26.6535,-80.2522,,,,,
2818812,2012,Anolis equestris equestris,Voucher Photographs,Verified,26.8904,-80.13,,,,,
2986953,2013,Anolis equestris equestris,Voucher Photographs,Verified,25.1261,-80.4129,,,,,
3128976,2013,Anolis equestris equestris,Expertise,Verified,25.2902,-80.3754,,,,,
2935963,2013,Anolis equestris equestris,Expertise,Verified,25.3046,-80.2979,,,,,
3067712,2013,Anolis equestris equestris,Expertise,Verified,25.3893,-80.5252,,,,,
3097595,2013,Anolis equestris equestris,Voucher Photographs,Verified,25.4319,-80.5177,,,,,
3060813,2013,Anolis equestris equestris,Voucher Photographs,Verified,25.463,-80.439,,,,,
3045380,2013,Anolis equestris equestris,Voucher Photographs,Verified,25.4834,-80.4703,,,,,
3067988,2013,Anolis equestris equestris,Expertise,Verified,25.5253,-80.5603,,,,,
2818511,2013,Anolis equestris equestris,Expertise,Verified,25.6817,-80.1606,,,,,
2818440,2013,Anolis equestris equestris,Voucher Photographs,Verified,25.7085,-80.4005,,,,,
3060415,2013,Anolis equestris equestris,Voucher Photographs,Verified,25.7608,-80.5198,,,,,
3058817,2013,Anolis equestris equestris,Voucher Photographs,Verified,25.7876,-80.2369,,,,,
3059484,2013,Anolis equestris equestris,,Credible,25.9982,-80.3449,,,,,
3077694,2013,Anolis equestris equestris,Voucher Photographs,Verified,26.0149,-80.177,,,,,
2818415,2013,Anolis equestris equestris,Voucher Photographs,Verified,26.0163,-80.2102,,,,,
3046882,2013,Anolis equestris equestris,Voucher Photographs,Verified,26.0642,-80.1631,,,,,
3070496,2013,Anolis equestris equestris,Voucher Photographs,Verified,26.1201,-80.1342,,,,,
3060421,2013,Anolis equestris equestris,Voucher Photographs,Verified,26.1248,-80.2495,,,,,
2684147,2013,Anolis equestris equestris,Voucher Photographs,Verified,26.136,-80.2602,,,,,
2818908,2013,Anolis equestris equestris,Voucher Photographs,Verified,26.1394,-80.2709,,,,,
3059995,2013,Anolis equestris equestris,,Credible,26.1569,-81.6999,,,,,
2988912,2013,Anolis equestris equestris,,Credible,26.1643,-81.7442,,,,,
3174680,2013,Anolis equestris equestris,Voucher Photographs,Verified,26.1897,-80.2223,,,,,
3060461,2013,Anolis equestris equestris,Voucher Photographs,Verified,26.2003,-81.775,,,,,
3060120,2013,Anolis equestris equestris,Voucher Photographs,Verified,26.2137,-80.2279,,,,,
3060458,2013,Anolis equestris equestris,Voucher Photographs,Verified,26.238,-81.7676,,,,,
3061184,2013,Anolis equestris equestris,Voucher Photographs,Verified,26.2407,-80.173,,,,,
3124089,2013,Anolis equestris equestris,Voucher Photographs,Verified,26.3177,-80.1883,,,,,
3059168,2013,Anolis equestris equestris,Voucher Photographs,Verified,26.3206,-80.1297,,,,,
3059662,2013,Anolis equestris equestris,,Credible,26.3285,-80.2757,,,,,
3059761,2013,Anolis equestris equestris,,Credible,26.35,-80.0729,,,,,
3059519,2013,Anolis equestris equestris,Voucher Photographs,Verified,26.4055,-81.7869,,,,,
3059523,2013,Anolis equestris equestris,Voucher Photographs,Verified,26.4748,-80.1346,,,,,
3059922,2013,Anolis equestris equestris,Voucher Photographs,Verified,26.5973,-80.1835,,,,,
2986744,2013,Anolis equestris equestris,Voucher Photographs,Verified,26.6146,-80.0554,,,,,
2689941,2013,Anolis equestris equestris,,Credible,26.7107,-80.143,,,,,
3044869,2013,Anolis equestris equestris,Voucher Photographs,Verified,26.8336,-80.1317,,,,,
2818912,2013,Anolis equestris equestris,Voucher Photographs,Verified,26.8798,-80.106,,,,,
3059361,2013,Anolis equestris equestris,Voucher Photographs,Verified,26.8897,-80.1127,,,,,
2818424,2013,Anolis equestris equestris,Voucher Photographs,Verified,27.0314,-80.1014,,,,,
2818915,2013,Anolis equestris equestris,Voucher Photographs,Verified,27.1594,-80.2653,,,,,
2818904,2013,Anolis equestris equestris,,Credible,27.8919,-82.682,,,,,
3228483,2014,Anolis equestris equestris,Voucher Photographs,Verified,25.1074,-80.43,,,,,
3228482,2014,Anolis equestris equestris,Voucher Photographs,Verified,25.2932,-80.2947,,,,,
3136255,2014,Anolis equestris equestris,Expertise,Verified,25.4347,-80.4748,,,,,
3130375,2014,Anolis equestris equestris,Voucher Photographs,Verified,25.4456,-80.536,,,,,
3229826,2014,Anolis equestris equestris,Expertise,Verified,25.4838,-80.5635,,,,,
3165226,2014,Anolis equestris equestris,Voucher Photographs,Verified,25.6075,-80.4274,,,,,
3174652,2014,Anolis equestris equestris,Voucher Photographs,Verified,25.694,-80.2983,,,,,
3174688,2014,Anolis equestris equestris,Voucher Photographs,Verified,25.711,-80.2566,,,,,
3174510,2014,Anolis equestris equestris,Voucher Photographs,Verified,25.7861,-80.1746,,,,,
3956091,2014,Anolis equestris equestris,Photographs,Credible,26.0201,-80.1296,,,,,
3130395,2014,Anolis equestris equestris,Voucher Photographs,Verified,26.0454,-80.2201,,,,,
3174706,2014,Anolis equestris equestris,Voucher Photographs,Verified,26.0844,-80.1462,,,,,
3165269,2014,Anolis equestris equestris,Voucher Photographs,Verified,26.1083,-81.7714,,,,,
4101032,2014,Anolis equestris equestris,,Verified,26.122,-81.7671,,,,,
3944466,2014,Anolis equestris equestris,Photographs,Verified,26.1317,-81.806,,,,,
3174817,2014,Anolis equestris equestris,,Credible,26.1527,-81.7898,,,,,
3954734,2014,Anolis equestris equestris,Expertise,Verified,26.1576,-81.7912,,,,,
3944292,2014,Anolis equestris equestris,Expertise,Verified,26.1843,-80.149,,,,,
3944419,2014,Anolis equestris equestris,Photographs,Verified,26.2204,-81.8046,,,,,
3164952,2014,Anolis equestris equestris,Voucher Photographs,Verified,26.24,-81.728,,,,,
3909576,2014,Anolis equestris equestris,Voucher Photographs,Verified,26.2571,-80.2783,,,,,
3944403,2014,Anolis equestris equestris,Photographs,Verified,26.2577,-80.2692,,,,,
3909445,2014,Anolis equestris equestris,Voucher Photographs,Verified,26.2659,-81.808,,,,,
3215647,2014,Anolis equestris equestris,Voucher Photographs,Verified,26.2945,-80.2456,,,,,
3910773,2014,Anolis equestris equestris,Voucher Photographs,Verified,26.3037,-80.288,,,,,
3229895,2014,Anolis equestris equestris,Voucher Photographs,Verified,26.328,-81.8231,,,,,
3955805,2014,Anolis equestris equestris,Voucher Photographs,Verified,26.4,-80.2087,,,,,
3229287,2014,Anolis equestris equestris,Voucher Photographs,Verified,26.4271,-80.1564,,,,,
3909437,2014,Anolis equestris equestris,Voucher Photographs,Verified,26.4348,-82.0796,,,,,
3943918,2014,Anolis equestris equestris,Voucher Photographs,Verified,26.5007,-80.0796,,,,,
4102509,2014,Anolis equestris equestris,Expertise,Verified,26.5191,-80.0504,,,,,
3229475,2014,Anolis equestris equestris,Voucher Photographs,Verified,26.6276,-81.9724,,,,,
4207375,2014,Anolis equestris equestris,Photographs,Verified,26.6351,-80.1114,,,,,
3164316,2014,Anolis equestris equestris,Voucher Photographs,Verified,26.6905,-80.0433,,,,,
3909327,2014,Anolis equestris equestris,Voucher Photographs,Verified,28.3583,-80.6119,,,,,
4108051,2014,Anolis equestris equestris,Expertise,Verified,,,,,,,
4708954,2015,Anolis equestris equestris,Photographs,Verified,25.4638,-80.515,,,,,
4234500,2015,Anolis equestris equestris,Expertise,Credible,25.4791,-80.4988,,,,,
4435561,2015,Anolis equestris equestris,Photographs,Verified,25.4911,-80.4612,,,,,
4495645,2015,Anolis equestris equestris,Expertise,Verified,25.6048,-80.5163,,,,,
4259105,2015,Anolis equestris equestris,Photographs,Verified,25.6161,-80.3076,,,,,
4259533,2015,Anolis equestris equestris,Photographs,Verified,25.818,-80.1888,,,,,
4435564,2015,Anolis equestris equestris,Photographs,Verified,25.827,-80.3281,,,,,
4234537,2015,Anolis equestris equestris,Photographs,Verified,25.9836,-80.2825,,,,,
4435662,2015,Anolis equestris equestris,Photographs,Verified,26.0445,-80.3795,,,,,
4426519,2015,Anolis equestris equestris,Photographs,Verified,26.0954,-80.4097,,,,,
4495007,2015,Anolis equestris equestris,Expertise,Credible,26.1004,-80.3998,,,,,
4206113,2015,Anolis equestris equestris,Photographs,Verified,26.1028,-81.7387,,,,,
4233799,2015,Anolis equestris equestris,Photographs,Verified,26.1052,-80.3082,,,,,
4206353,2015,Anolis equestris equestris,Photographs,Verified,26.1088,-80.2518,,,,,
4241392,2015,Anolis equestris equestris,Expertise,Credible,26.1425,-80.1444,,,,,
4431384,2015,Anolis equestris equestris,Photographs,Verified,26.1466,-80.2602,,,,,
4257050,2015,Anolis equestris equestris,Photographs,Verified,26.1468,-80.3268,,,,,
4425373,2015,Anolis equestris equestris,Photographs,Verified,26.1487,-80.2031,,,,,
4431464,2015,Anolis equestris equestris,Photographs,Verified,26.1633,-80.2635,,,,,
4257601,2015,Anolis equestris equestris,Photographs,Verified,26.1646,-80.2961,,,,,
4243175,2015,Anolis equestris equestris,Photographs,Verified,26.1707,-81.7907,,,,,
4255311,2015,Anolis equestris equestris,Photographs,Verified,26.1899,-80.2661,,,,,
4424149,2015,Anolis equestris equestris,Photographs,Verified,26.1942,-81.6962,,,,,
4495008,2015,Anolis equestris equestris,Photographs,Verified,26.2047,-80.1203,,,,,
4494535,2015,Anolis equestris equestris,Photographs,Verified,26.2075,-81.7694,,,,,
4239011,2015,Anolis equestris equestris,Expertise,Credible,26.2235,-81.7674,,,,,
4207364,2015,Anolis equestris equestris,Photographs,Verified,26.236,-80.1766,,,,,
4259636,2015,Anolis equestris equestris,Photographs,Verified,26.2443,-81.7168,,,,,
4259212,2015,Anolis equestris equestris,Photographs,Verified,26.2454,-81.7731,,,,,
4240757,2015,Anolis equestris equestris,Expertise,Credible,26.2621,-81.7663,,,,,
4257225,2015,Anolis equestris equestris,Expertise,Credible,26.2635,-80.1513,,,,,
4256828,2015,Anolis equestris equestris,Photographs,Verified,26.3118,-81.7885,,,,,
4207194,2015,Anolis equestris equestris,Photographs,Verified,26.3812,-81.8145,,,,,
4252793,2015,Anolis equestris equestris,Photographs,Verified,26.3973,-81.7883,,,,,
4255626,2015,Anolis equestris equestris,Photographs,Verified,26.4026,-80.1482,,,,,
4233802,2015,Anolis equestris equestris,Photographs,Verified,26.4046,-80.1156,,,,,
4259303,2015,Anolis equestris equestris,Photographs,Verified,26.4729,-80.1058,,,,,
4483006,2015,Anolis equestris equestris,Expertise,Credible,26.486,-80.0776,,,,,
4495273,2015,Anolis equestris equestris,Photographs,Verified,26.5569,-81.8781,,,,,
4239972,2015,Anolis equestris equestris,Photographs,Verified,26.5747,-81.885,,,,,
4494797,2015,Anolis equestris equestris,Photographs,Verified,26.6168,-80.0684,,,,,
4207349,2015,Anolis equestris equestris,Photographs,Verified,26.6382,-80.2665,,,,,
4239283,2015,Anolis equestris equestris,Photographs,Verified,26.6449,-80.0769,,,,,
4258417,2015,Anolis equestris equestris,Photographs,Verified,26.6504,-80.2161,,,,,
4257602,2015,Anolis equestris equestris,Photographs,Verified,26.6721,-80.0905,,,,,
4207098,2015,Anolis equestris equestris,Photographs,Verified,26.7792,-80.2364,,,,,
4483005,2015,Anolis equestris equestris,Expertise,Credible,26.8405,-80.1154,,,,,
4244704,2015,Anolis equestris equestris,Photographs,Verified,26.8983,-80.1053,,,,,
4256931,2015,Anolis equestris equestris,Photographs,Verified,26.9059,-80.1058,,,,,
4242035,2015,Anolis equestris equestris,Photographs,Verified,26.9062,-80.1265,,,,,
4495532,2015,Anolis equestris equestris,Expertise,Verified,27.0748,-80.1384,,,,,
4237049,2015,Anolis equestris equestris,Photographs,Verified,27.1682,-80.2684,,,,,
4494763,2015,Anolis equestris equestris,Photographs,Verified,27.6882,-82.7207,,,,,
4482982,2016,Anolis equestris equestris,Photographs,Verified,25.7333,-80.3514,,,,,
4718411,2016,Anolis equestris equestris,Photographs,Verified,25.7517,-80.3022,,,,,
4779976,2016,Anolis equestris equestris,Photographs,Verified,25.9139,-80.3136,,,,,
4435727,2016,Anolis equestris equestris,Photographs,Verified,26.0044,-80.3627,,,,,
4743436,2016,Anolis equestris equestris,Photographs,Verified,26.0082,-80.2012,,,,,
4772182,2016,Anolis equestris equestris,Photographs,Verified,26.0569,-80.1939,,,,,
4498347,2016,Anolis equestris equestris,Photographs,Verified,26.0817,-80.2358,,,,,
4778336,2016,Anolis equestris equestris,Photographs,Verified,26.0863,-80.2526,,,,,
4499860,2016,Anolis equestris equestris,Photographs,Verified,26.1063,-80.1322,,,,,
4779053,2016,Anolis equestris equestris,Photographs,Verified,26.1145,-80.4243,,,,,
4760590,2016,Anolis equestris equestris,Photographs,Verified,26.1213,-80.243,,,,,
4863537,2016,Anolis equestris equestris,Photographs,Verified,26.1843,-81.6733,,,,,
4779555,2016,Anolis equestris equestris,Photographs,Verified,26.1893,-80.2874,,,,,
4778521,2016,Anolis equestris equestris,Photographs,Verified,26.2352,-81.7805,,,,,
4716355,2016,Anolis equestris equestris,Photographs,Verified,26.2815,-81.7583,,,,,
4723826,2016,Anolis equestris equestris,Photographs,Verified,26.2975,-81.5875,,,,,
4864536,2016,Anolis equestris equestris,Photographs,Verified,26.3398,-81.7787,,,,,
4863791,2016,Anolis equestris equestris,Photographs,Verified,26.3597,-80.1255,,,,,
4499046,2016,Anolis equestris equestris,Photographs,Verified,26.4242,-81.8328,,,,,
4712297,2016,Anolis equestris equestris,Photographs,Verified,26.4357,-80.2142,,,,,
4864537,2016,Anolis equestris equestris,Specimens,Verified,26.4604,-81.8278,,,,,
4455268,2016,Anolis equestris equestris,Photographs,Verified,26.4704,-81.7854,,,,,
4764967,2016,Anolis equestris equestris,Expertise,Credible,26.7037,-80.1723,,,,,
4760697,2016,Anolis equestris equestris,Photographs,Verified,26.7343,-80.3045,,,,,
4864197,2016,Anolis equestris equestris,Expertise,Credible,28.7028,-81.3417,,,,,
